Date,Source,Headline,Sentiment,Sentiment Score,Label,Link
2024-08-27,ambcrypto,SEI crypto up 37% in 6 days – Here’s how bulls can target another 11% hike,Negative,0.4003,2 stars,https://ambcrypto.com/sei-crypto-up-37-in-6-days-heres-how-bulls-can-target-another-11-hike/
2024-08-27,ambcrypto,"Shiba Inu rallies ahead of DAO rollout, up 15% in 7 days – What’s next?",Negative,0.2506,3 stars,https://ambcrypto.com/shiba-inu-rallies-ahead-of-dao-rollout-up-15-in-7-days-whats-next/
2024-08-27,ambcrypto,"Bitcoin sees rebound, but are bulls ready to push BTC past $70K?",Negative,0.3102,2 stars,https://ambcrypto.com/bitcoin-sees-rebound-but-are-bulls-ready-to-push-btc-past-70k/
2024-08-26,ambcrypto,Solana’s POPCAT surges 90%: What about a move to $1 now?,Negative,0.2367,4 stars,https://ambcrypto.com/solanas-popcat-surges-90-what-about-a-move-to-1-now/
2024-08-26,ambcrypto,Sundog rallies 700%: What’s fueling the surge and can it sustain?,Negative,0.2936,4 stars,https://ambcrypto.com/sundog-rallies-700-whats-fueling-the-surge-and-can-it-sustain/
2024-08-26,ambcrypto,Ethereum ETFs struggle as Bitcoin ETFs see $252M inflows: Can ETH catch up?,Negative,0.3314,2 stars,https://ambcrypto.com/ethereum-etfs-struggle-as-bitcoin-etfs-see-252m-inflows-can-eth-catch-up/
2024-08-26,ambcrypto,Is AMP crypto’s rally at risk? Signs of reversal emerge after 11% gain,Negative,0.2493,2 stars,https://ambcrypto.com/is-amp-cryptos-rally-at-risk-signs-of-reversal-emerge-after-11-gain/
2024-08-26,ambcrypto,Behind FLOKI’s 33% surge is a CAT strategy – Here’s how!,Negative,0.3472,3 stars,https://ambcrypto.com/behind-flokis-33-surge-is-a-cat-strategy-heres-how/
2024-08-26,ambcrypto,Solana’s slowing network activity: A red flag for SOL prices?,Negative,0.362,3 stars,https://ambcrypto.com/solana-slowing-network-activity-a-red-flag-for-sol-prices/
2024-08-26,ambcrypto,XRP might soon rally towards $3 if these conditions are met,Negative,0.3451,3 stars,https://ambcrypto.com/xrp-might-soon-rally-towards-3-if-these-conditions-are-met/
2024-08-26,ambcrypto,Render price prediction: Why another 15% hike could be likely,Negative,0.2989,3 stars,https://ambcrypto.com/render-price-prediction-why-another-15-hike-could-be-likely/
2024-08-26,ambcrypto,Will Arbitrum breakout of this key pattern soon? Analysts predict a 2x rally,Negative,0.3985,2 stars,https://ambcrypto.com/will-arbitrum-breakout-of-this-key-pattern-soon-analysts-predict-a-2x-rally/
