id,date,source,headline,sentiment,sentiment_score,label,link
444,2024-08-28,ambcrypto,How Bitcoin is maintaining the $62K level despite sell-offs,Negative,0.2412,4 stars,https://ambcrypto.com/how-bitcoin-is-maintaining-the-62k-level-despite-sell-offs/
445,2024-08-28,ambcrypto,Akash Network’s NVIDIA integration: How AKT reacted after the news,Negative,0.2504,4 stars,https://ambcrypto.com/akash-networks-nvidia-integration-how-akt-reacted-after-the-news/
446,2024-08-27,ambcrypto,Helium breaks $7 as THIS rises by $2M – New ATH for HNT?,Negative,0.4179,1 stars,https://ambcrypto.com/helium-breaks-7-as-open-interest-rises-by-2m-new-ath-for-hnt/
447,2024-08-27,ambcrypto,PayPal’s PYUSD stablecoin crosses $1B market cap – How Solana helped its rise,Negative,0.2929,5 stars,https://ambcrypto.com/paypals-pyusd-stablecoin-crosses-1b-market-cap-how-solana-helped-its-rise/
448,2024-08-27,ambcrypto,Altcoin market cap crosses $920B – Why analysts predict more upside,Negative,0.3043,2 stars,https://ambcrypto.com/altcoin-market-cap-crosses-920b-why-analysts-predict-more-upside/
449,2024-08-27,ambcrypto,Russia to test cross-border crypto payments in September – Reasons?,Negative,0.2754,3 stars,https://ambcrypto.com/russia-to-test-cross-border-crypto-payments-in-september-reasons/
450,2024-08-27,ambcrypto,Why Ethereum’s long-terms trends look bullish despite short-term sell-offs,Negative,0.4339,2 stars,https://ambcrypto.com/why-ethereums-long-terms-trends-look-bullish-despite-short-term-sell-offs/
451,2024-08-27,ambcrypto,Bitcoin closes above a key level: Is now the time to grab BTC?,Negative,0.2826,4 stars,https://ambcrypto.com/bitcoin-closes-above-a-key-level-is-now-the-time-to-grab-btc/
452,2024-08-27,ambcrypto,Crypto investments see inflows amidst Fed rate cut hype – What about BTC?,Negative,0.3178,2 stars,https://ambcrypto.com/crypto-investments-see-inflows-amidst-fed-rate-cut-hype-what-about-btc/
453,2024-08-27,ambcrypto,"BlockDAG (BDAG): A Layer 1 blockchain with potential for 5,800% ROI",Negative,0.2679,4 stars,https://ambcrypto.com/blockdag-bdag-a-layer-1-blockchain-with-potential-for-5800-roi/
454,2024-08-27,ambcrypto,AAVE nears $152 breakout: Can it surge to $300 by October?,Negative,0.3013,2 stars,https://ambcrypto.com/aave-nears-152-breakout-can-it-surge-to-300-by-october/
455,2024-08-27,ambcrypto,dogwifhat struggles despite whale moves: Why WIF has a tough road ahead,Negative,0.4158,2 stars,https://ambcrypto.com/dogwifhat-struggles-despite-whale-moves-why-wif-has-a-tough-road-ahead/
456,2024-08-27,ambcrypto,Trump’s crypto project gets a new name – All you should know!,Negative,0.2693,4 stars,https://ambcrypto.com/trumps-crypto-project-gets-a-new-name-all-you-should-know/
457,2024-08-27,ambcrypto,DOGS memecoin plummets by 23.77% after Binance listing: What’s next?,Positive,0.5155,1 stars,https://ambcrypto.com/dogs-memecoin-plummets-by-23-77-after-binance-listing-whats-next/
458,2024-08-27,ambcrypto,Introducing DegenPad: The next evolution in Web3 Launchpads,Negative,0.3042,4 stars,https://ambcrypto.com/introducing-degenpad-the-next-evolution-in-web3-launchpads/
459,2024-08-27,ambcrypto,XRP whales scoop up 50 mln tokens amid price drop – Bull run incoming?,Negative,0.4555,1 stars,https://ambcrypto.com/xrp-whales-scoop-up-50-mln-tokens-amid-price-drop-bull-run-incoming/
460,2024-08-27,Benzinga,CrossCountry Mortgage Review,Negative,0.2402,4 stars,https://www.benzinga.com/money/crosscountry-mortgage-review
461,2024-08-27,Benzinga,Best Mortgage Lenders for First Time Home Buyers in Arkansas,Negative,0.3105,4 stars,https://www.benzinga.com/money/best-mortgage-lenders-for-first-time-home-buyers-in-arkansas
462,2024-08-27,Benzinga,Best Mortgage Lenders for First Time Home Buyers in Delaware,Negative,0.3224,4 stars,https://www.benzinga.com/money/best-mortgage-lenders-for-first-time-home-buyers-in-delaware
463,2024-08-27,Benzinga,Best Mortgage Lenders for First Time Home Buyers in Indiana,Negative,0.3138,5 stars,https://www.benzinga.com/money/first-time-home-buyer-indiana
464,2024-08-27,Benzinga,How to Start Investing in Industrial Real Estate,Negative,0.318,4 stars,https://www.benzinga.com/money/investing-in-industrial-real-estate
465,2024-08-27,Benzinga,Best Florida Mortgage Lenders for First Time Home Buyers,Negative,0.2865,4 stars,https://www.benzinga.com/money/best-mortgage-lender-florida-first-time-home-buyer
466,2024-08-27,Benzinga,Best Mortgage Lenders for Alabama First Time Home Buyers,Negative,0.2412,4 stars,https://www.benzinga.com/money/best-mortgage-lenders-for-alabama-first-time-home-buyers
467,2024-08-27,Benzinga,Best Mortgage Lenders for First Time Home Buyers in Illinois,Negative,0.2782,4 stars,https://www.benzinga.com/money/first-time-home-buyer-illinois
468,2024-08-27,Benzinga,"Best Mortgage Lenders in Greenville, South Carolina",Negative,0.3248,4 stars,https://www.benzinga.com/money/best-mortgage-lenders-in-greenville-south-carolina
469,2024-08-27,Benzinga,How to Buy Gold Coins,Negative,0.3109,4 stars,https://www.benzinga.com/money/how-to-buy-gold-coins
470,2024-08-28,Bitcoin.com News,Finder’s Experts Forecast Potential Surge in XRP Price,Negative,0.2983,3 stars,https://news.bitcoin.com/finders-experts-forecast-potential-surge-in-xrp-price/
471,2024-08-27,Bitcoin.com News,UAE Requests France to Provide Immediate Consular Support for Telegram CEO Pavel Durov,Negative,0.3716,1 stars,https://news.bitcoin.com/uae-requests-france-to-provide-immediate-consular-support-for-telegram-ceo-pavel-durov/
472,2024-08-27,Bitcoin.com News,Space and Time Secures $20 Million in Series A Funding to Enhance AI and Blockchain,Negative,0.2714,4 stars,https://news.bitcoin.com/space-and-time-secures-20-million-in-series-a-funding-to-enhance-ai-and-blockchain/
473,2024-08-27,Bitcoin.com News,Bitcoin Loses Footing as Price Slips Below $62K Threshold,Positive,0.5549,1 stars,https://news.bitcoin.com/bitcoin-loses-footing-as-price-slips-below-62k-threshold/
474,2024-08-27,Bitcoin.com News,Flare Network Integrates Polyhedra’s ZK Bridge for Enhanced Cross-Chain Security,Negative,0.4254,4 stars,https://news.bitcoin.com/flare-network-integrates-polyhedras-zk-bridge-for-enhanced-cross-chain-security/
