Date,Source,Headline,Sentiment,Sentiment Score,Label,Link
2024-09-02,ambcrypto,Peter Schiff criticizes Bitcoin amidst price blow: ‘The momentum has turned’,Negative,0.3277,1 stars,https://ambcrypto.com/peter-schiff-criticizes-bitcoin-amidst-price-blow-the-momentum-has-turned/
2024-09-02,ambcrypto,Can FLOKI turn things around after a 65% drop from its ATH?,Negative,0.3771,2 stars,https://ambcrypto.com/can-floki-turn-things-around-after-a-65-drop-from-its-ath/
2024-09-02,ambcrypto,"As Ethereum slows down, will Vitalik Buterin help ETH rise?",Negative,0.3839,2 stars,https://ambcrypto.com/as-ethereum-slows-down-will-vitalik-buterin-help-eth-rise/
2024-09-02,ambcrypto,dogwifhat [WIF] whale accumulates $13M tokens – What’s behind this move?,Negative,0.2247,2 stars,https://ambcrypto.com/dogwifhat-whale-accumulates-13-mln-tokens-whats-behind-this-move/
2024-09-02,ambcrypto,Assessing U.S. SEC’s latest move against FTX: Crypto regulation goes too far?,Negative,0.3378,2 stars,https://ambcrypto.com/assessing-us-secs-latest-move-against-ftx-crypto-regulation-goes-too-far/
2024-09-02,ambcrypto,Ethereum whales buy $19M in ETH – Bullish sign?,Negative,0.493,1 stars,https://ambcrypto.com/ethereum-whales-buy-19-mln-in-eth-bullish-sign/
2024-09-02,ambcrypto,Solana tops DEX transactions in August – Impact on SOL?,Negative,0.267,3 stars,https://ambcrypto.com/solana-tops-dex-transactions-in-august-impact-on-sol/
2024-09-02,ambcrypto,XRP bulls plot short-term reversal – Will Bitcoin ruin their plans?,Negative,0.3059,2 stars,https://ambcrypto.com/xrp-bulls-plot-short-term-reversal-will-bitcoin-ruin-their-plans/
2024-09-02,ambcrypto,Nigeria’s first digital exchange license approved: ‘Historical moment’,Negative,0.2573,3 stars,https://ambcrypto.com/nigerias-first-digital-exchange-license-approved-historical-moment/
2024-09-02,ambcrypto,Bitcoin: Why THIS group’s moves point at a buying opportunity,Negative,0.2818,2 stars,https://ambcrypto.com/bitcoin-why-this-groups-moves-point-at-a-buying-opportunity/
2024-09-02,ambcrypto,Cardano Chang hard fork goes live – So why is ADA down?,Negative,0.4383,1 stars,https://ambcrypto.com/cardano-chang-hard-fork-goes-live-so-why-is-ada-down/
2024-09-02,ambcrypto,Dogecoin at $0.094 support – Will DOGE’s price rebound?,Negative,0.3253,2 stars,https://ambcrypto.com/dogecoin-at-0-094-support-will-doges-price-rebound/
2024-09-02,ambcrypto,Fantom’s largest upgrade – Rebrands to Sonic Labs: Effect on FTM?,Negative,0.4045,5 stars,https://ambcrypto.com/fantoms-largest-upgrade-rebrands-to-sonic-labs-effect-on-ftm/
2024-09-02,ambcrypto,Bitcoin whales continue to impact BTC amidst 1K token move,Negative,0.3216,1 stars,https://ambcrypto.com/bitcoin-whales-continue-to-impact-btc-amidst-1k-token-move/
2024-09-02,ambcrypto,"Bitcoin must pass $63.2k soon, for THIS vital reason",Negative,0.2441,3 stars,https://ambcrypto.com/bitcoin-must-pass-63-2k-soon-for-this-vital-reason/
