bitcoin_price,date,ethereum_price
60738.7449250574,2024-08-04,2906.7150241765007
58006.206586686734,2024-08-05,2682.4373928187924
53956.26184159744,2024-08-06,2415.6311394312143
55959.84107399357,2024-08-07,2455.51137665051
55099.95181146735,2024-08-08,2341.590346028249
61859.03159904161,2024-08-09,2685.012750687489
60912.588533350805,2024-08-10,2602.1840712761878
60887.70861641504,2024-08-11,2608.0357436286963
58804.23449992608,2024-08-12,2558.790870730736
59350.07433270696,2024-08-13,2726.777988551933
60601.22317789727,2024-08-14,2703.5505587641255
58739.19382231015,2024-08-15,2662.780395092489
57624.11692852191,2024-08-16,2569.8604812159274
58881.92579151217,2024-08-17,2592.249006212312
59430.79163445865,2024-08-18,2613.139261446099
58438.293742685404,2024-08-19,2614.6012806263716
59574.945812940874,2024-08-20,2640.5904207330605
59060.12610074137,2024-08-21,2575.643435503567
61144.68762866613,2024-08-22,2630.2988017642488
60387.54062321362,2024-08-23,2623.289171364539
64049.68561555576,2024-08-24,2763.2554073640704
64157.1606134782,2024-08-25,2767.840733546234
64265.81631272862,2024-08-26,2745.164671605207
62922.58634676265,2024-08-27,2683.0801154902983
59526.560879590994,2024-08-28,2457.2773517547434
59015.29633887944,2024-08-29,2527.0269814017706
59351.5794909728,2024-08-30,2526.7383553003406
59156.246036463555,2024-08-31,2527.690204915795
58960.23658664587,2024-09-01,2513.3643501004462
57357.71617282246,2024-09-02,2430.0202661439344
57357.71617282246,2024-09-02,2515.6044485367524
58329.73256854616,2024-09-02,2430.0202661439344
58329.73256854616,2024-09-02,2515.6044485367524
